ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
23681485,41227949,48603239,,
64561923,41227949,48603239,,
62687687,41227949,3343985,,
87762857,41227949,3343985,,
94801578,41227949,3343985,,
45466641,41227949,3343985,,
54750686,41227949,25666958,,
22748409,41227949,25666958,,
92934688,41227949,25666958,,
8097623,41227949,25666958,,
62233020,41227949,29673695,,
40519863,41227949,29673695,,
2136837,41227949,29673695,,
39069308,41227949,29673695,,
56575282,41227949,81328377,,
59502195,41227949,81328377,,
42113934,41227949,81328377,,
2788509,41227949,81328377,,
28374567,41227949,74054412,,
55618592,41227949,74054412,,
66969175,41227949,74054412,,
6097295,41227949,74054412,,
42715654,41227949,99948523,,
19858163,41227949,99948523,,
38090223,41227949,99948523,,
99936909,41227949,99948523,,
56240541,41227949,21267167,,
28072309,41227949,21267167,,
80759556,41227949,21267167,,
6236001,41227949,21267167,,
55529454,41227949,2877157,,
92308303,41227949,2877157,,
11795008,41227949,2877157,,
26263252,41227949,2877157,,
38683625,41227949,88825641,,
8606756,41227949,88825641,,
47207042,41227949,88825641,,
95508896,41227949,88825641,,
52636159,41227949,25482520,,
39833429,41227949,25482520,,
83818446,41227949,25482520,,
21031157,41227949,25482520,,
50285431,41227949,1696220,,
62152022,41227949,1696220,,
9649165,41227949,1696220,,
87598700,41227949,1696220,,
91699042,41227949,1696220,,
90174955,41227949,39146377,,
82325033,41227949,39146377,,
34027266,41227949,39146377,,
63392407,41227949,39146377,,
